lat,lng,active,days_old,category
18.29634818490149,42.72679332643747,1,1179,المحلات التجارية
18.2471284967621,42.7437271177769,1,0,المحلات التجارية
18.269547168349604,42.73898555897176,1,99,المطابخ و المطاعم و ما في حكمها
18.302375510979907,42.72626023739576,1,0,المحلات التجارية
18.25398384379905,42.75834028411011,0,1132,المحلات التجارية
18.304459234086664,42.73826307871016,1,0,المطابخ و المطاعم و ما في حكمها
18.307173093218264,42.7460465580225,1,0,المحلات التجارية
18.26945444142977,42.65750985592604,1,0,المحلات التجارية
18.28919099115227,42.72651445961976,1,1498,المحلات التجارية
18.29894337504101,42.72918356751461,1,0,المحلات التجارية
18.30625652718368,42.732122456654906,0,0,المحلات التجارية
18.209140965449368,42.51920520144141,0,1625,المحلات التجارية
18.40617259756452,42.70432345569134,1,0,المحلات التجارية
18.34512059,42.71248406,1,0,المحلات التجارية
18.304471753965245,42.72612023763735,0,1818,المحلات التجارية
18.30709311868796,42.75123939849436,1,1530,المحلات التجارية
18.21335661568338,42.51515369911107,1,0,المحلات التجارية
18.24484320448609,42.57260870195792,0,361,المحلات التجارية
18.323475072304383,42.690962047889045,0,392,المحلات التجارية
18.302526392381523,42.75105667300522,0,0,المحلات التجارية
18.23933109276429,42.50212948769331,1,945,المحلات التجارية
18.300254741755165,42.73007743139305,0,1927,المحلات التجارية
18.248483832187787,42.78596914373338,0,1857,المحلات التجارية
18.308476061549165,42.72871588251215,0,0,المحلات التجارية
18.199153956808846,42.49818681973116,0,562,المطابخ و المطاعم و ما في حكمها
18.2990722660001,42.7583007810001,0,1868,المحلات التجارية
18.40933849799862,42.471626243673775,1,0,المطابخ و المطاعم و ما في حكمها
18.27367326714419,42.66501735895872,0,291,محلات تغيير الزيوت و الشحوم و غسيل السيارات
18.307998474386125,42.72983994914232,1,0,المحلات التجارية
18.24189069465085,42.57651051021151,1,0,الورش المهنية
18.226707154446643,42.54166608676314,1,0,الورش المهنية
18.33867747763708,42.77258366346359,1,84,المحلات التجارية
18.21545793633045,42.56233921858276,0,1463,المحلات التجارية
18.23023229666793,42.59364501846118,0,716,المطابخ و المطاعم و ما في حكمها
18.294111602868508,42.73903780612968,0,811,المحلات التجارية
18.295027497790173,42.72093146055374,1,0,المحلات التجارية
18.304543946136324,42.70315730794441,0,650,الأنشطة الطبية
18.25783978419676,42.47624340467155,1,0,المحلات التجارية
18.212797797225534,42.5018004141748,1,508,المحلات التجارية
18.298209190658994,42.68717081286013,1,969,المحلات التجارية
18.304947756754927,42.72880731115056,1,0,المحلات التجارية
18.20830717764809,42.51932957209647,1,0,المحلات التجارية
18.30512359990402,42.73021117228999,0,2105,المحلات التجارية
18.32187376535844,42.6841548417288,0,168,المحلات التجارية
18.299884598708445,42.71047229565287,0,105,المحلات التجارية
18.24554057908513,42.49658607053554,1,0,المحلات التجارية
18.30649987611565,42.729109444319086,1,0,المحلات التجارية
18.306769944371624,42.72879098775428,0,1491,المحلات التجارية
18.229240199558248,42.5576486159116,1,713,المحلات التجارية
18.3144982430001,42.7011143240001,0,1931,المحلات التجارية
18.231563224174177,42.49717314505304,1,1303,إصدار التراخيص بتأسيس أو تشغيل الصراف الألي
18.236797219731287,42.519735577488106,1,0,المحلات التجارية
18.306518555,42.7291259770001,0,2066,المحلات التجارية
18.226098445729377,42.59016687247113,1,0,المطابخ و المطاعم و ما في حكمها
18.30158349924193,42.71714138031093,0,995,المحلات التجارية
18.237576252228024,42.580442341967526,0,0,المحلات التجارية
18.24428051353357,42.51217889276453,0,686,الورش المهنية
18.22971655697033,42.48249366382703,0,582,المطابخ و المطاعم و ما في حكمها
18.226557958635297,42.79479562304914,0,0,المطابخ و المطاعم و ما في حكمها
18.39925378169525,42.70608616230496,1,0,المحلات التجارية
18.236556262973195,42.78375321999192,1,0,المطابخ و المطاعم و ما في حكمها
18.30599907297162,42.69898458199992,1,623,المحلات التجارية
18.238175119350444,42.565920682570855,1,0,الأنشطة الطبية
18.12213950180925,42.52377147786319,1,1876,المحلات التجارية
18.246443371898152,42.765585014116056,0,239,المحلات التجارية
18.291271012362685,42.69346186788961,1,0,المحلات التجارية
18.29303106792124,42.73001631476537,1,414,المطابخ و المطاعم و ما في حكمها
18.29222413765932,42.68300366587937,0,0,المحلات التجارية
18.307867749750063,42.69566730106408,0,1863,المحلات التجارية
18.29763437797149,42.72338289767504,1,0,المحلات التجارية
18.31155698740173,42.75260238307149,0,133,المحلات التجارية
18.227584174836736,42.49826249666512,1,583,المحلات التجارية
18.27439333455441,42.49935206025839,1,0,محلات تغيير الزيوت و الشحوم و غسيل السيارات
18.24339096087816,42.7390303183347,1,81,المطابخ و المطاعم و ما في حكمها
18.23161194214006,42.59552721411186,0,0,المطابخ و المطاعم و ما في حكمها
18.273858796017706,42.46861687861383,1,1212,المحلات التجارية
